time,latitude,longitude,mag,country
2012-02-02,-17.827,167.133,7.1,Vanuatu
2011-12-14,-7.551,146.809,7.1,Guinea
2011-10-23,38.721,43.508,7.1,Turkey
2011-09-15,-21.611,-179.528,7.3,Fiji
2011-09-03,-20.671,169.716,7.0,Vanuatu
2011-08-24,-7.641,-74.525,7.0,Peru
2011-08-20,-18.311,168.218,7.1,Vanuatu
2011-08-20,-18.365,168.143,7.2,Vanuatu
2011-07-10,38.034,143.264,7.0,Japan
2011-06-24,52.05,-171.836,7.3,USA
2011-04-07,38.276,141.588,7.1,Japan
2011-03-11,38.058,144.59,7.7,Japan
2011-03-11,36.281,141.111,7.9,Japan
2011-03-11,38.297,142.373,9.1,Japan
2011-03-09,38.435,142.842,7.3,Japan
2011-01-18,28.777,63.951,7.2,Pakistan
2011-01-13,-20.628,168.471,7.0,New Caledonia
2011-01-02,-38.355,-73.326,7.2,Chile
2011-01-01,-26.803,-63.136,7.0,Argentina
2010-12-25,-19.702,167.947,7.3,Vanuatu
2010-12-21,26.901,143.698,7.4,Japan
2010-10-25,-3.487,100.082,7.8,Indonesia
2010-09-29,-4.963,133.76,7.0,Indonesia
2010-09-03,-43.522,171.83,7.0,New Zealand
2010-08-12,-1.266,-77.306,7.1,Ecuador
2010-08-10,-17.541,168.069,7.3,Vanuatu
2010-08-04,-5.746,150.765,7.0,Guinea
2010-07-23,6.776,123.259,7.5,Philippines
2010-07-23,6.497,123.48,7.6,Philippines
2010-07-23,6.718,123.409,7.3,Philippines
2010-07-18,-5.931,150.59,7.3,Guinea
2010-06-16,-2.174,136.543,7.0,Indonesia
2010-06-12,7.881,91.936,7.5,India
2010-05-27,-13.698,166.643,7.2,Vanuatu
2010-05-09,3.748,96.018,7.2,Indonesia
2010-04-06,2.383,97.048,7.8,Indonesia
2010-03-11,-34.326,-71.799,7.0,Chile
2010-02-27,-37.773,-75.048,7.4,Chile
2010-02-27,-36.122,-72.898,8.8,Chile
2010-02-26,25.93,128.425,7.0,Japan
2010-01-12,18.443,-72.571,7.0,Haiti
2010-01-03,-8.783,157.354,7.1,Solomon Islands
2009-11-09,-17.239,178.331,7.3,Fiji
2009-10-07,-13.093,166.497,7.4,Vanuatu
2009-10-07,-12.517,166.382,7.8,Vanuatu
2009-10-07,-13.006,166.51,7.7,Vanuatu
2009-09-30,-0.72,99.867,7.6,Indonesia
2009-09-29,-15.489,-172.095,8.1,Samoa
2009-09-02,-7.782,107.297,7.0,Indonesia
2009-08-10,14.099,92.902,7.5,India
2009-08-09,33.167,137.944,7.1,Japan
2009-07-15,-45.762,166.562,7.8,New Zealand
2009-05-28,16.731,-86.217,7.3,Honduras
2009-03-19,-23.043,-174.66,7.6,Tonga
2009-02-11,3.886,126.387,7.2,Philippines
2009-01-03,-0.691,133.305,7.4,Indonesia
2009-01-03,-0.414,132.885,7.7,Indonesia
2008-11-24,54.203,154.322,7.3,Russia
2008-11-16,1.271,122.091,7.4,Indonesia
2008-09-29,-29.756,-177.683,7.0,New Zealand
2008-07-19,37.552,142.214,7.0,Japan
2008-05-12,31.002,103.322,7.9,China
2008-04-09,-20.071,168.892,7.3,Vanuatu
2008-03-20,35.49,81.467,7.2,China
2008-02-25,-2.486,99.972,7.2,Indonesia
2008-02-20,2.768,95.964,7.4,Indonesia
2007-12-19,51.36,-179.509,7.2,USA
2007-12-09,-25.996,-177.514,7.8,Fiji
2007-11-29,14.944,-61.274,7.4,Martinique
2007-11-14,-22.247,-69.89,7.7,Chile
2007-10-31,18.9,145.388,7.2,Northern Mariana Islands
2007-09-30,-49.271,164.115,7.4,New Zealand
2007-09-28,22.013,142.668,7.5,Japan
2007-09-13,-2.13,99.627,7.0,Indonesia
2007-09-12,-2.625,100.841,7.9,Indonesia
2007-09-12,-4.438,101.367,8.4,Indonesia
2007-09-02,-11.61,165.762,7.2,Solomon Islands
2007-08-15,-13.386,-76.603,8.0,Peru
2007-08-08,-5.859,107.419,7.5,Indonesia
2007-08-01,-15.595,167.68,7.2,Vanuatu
2007-04-01,-8.466,157.043,8.1,Solomon Islands
2007-03-25,-20.617,169.357,7.1,Vanuatu
2007-01-21,1.065,126.282,7.5,Indonesia
2006-12-26,21.799,120.547,7.1,Taiwan
2006-07-17,-9.284,107.419,7.7,Indonesia
2006-05-03,-20.187,-174.123,8.0,Tonga
2006-04-20,60.949,167.089,7.6,Russia
2006-02-22,-21.324,33.583,7.0,Zimbabwe
2006-01-27,-5.473,128.131,7.6,Indonesia
2006-01-02,-19.926,-178.178,7.2,Fiji
2005-11-14,38.107,144.896,7.0,Japan
2005-10-08,34.539,73.588,7.6,Pakistan
2005-09-26,-5.678,-76.398,7.5,Peru
2005-09-09,-4.539,153.474,7.6,Guinea
2005-08-16,38.276,142.039,7.2,Japan
2005-07-24,7.92,92.19,7.2,India
2005-06-15,41.292,-125.953,7.2,USA
2005-06-13,-19.987,-69.197,7.8,Chile
2005-03-28,2.085,97.108,8.6,Indonesia
2005-02-05,5.293,123.337,7.1,Philippines
2004-12-26,6.91,92.958,7.2,Indonesia
2004-11-28,43.006,145.119,7.0,Japan
2004-11-26,-3.609,135.404,7.1,Indonesia
2004-11-22,-46.676,164.721,7.1,New Zealand
2004-11-15,4.695,-77.508,7.2,Colombia
2004-10-09,11.422,-86.665,7.0,Nicaragua
2004-09-05,33.184,137.071,7.4,Japan
2004-09-05,33.07,136.618,7.2,Japan
2004-07-25,-2.427,103.981,7.3,Indonesia
2004-07-15,-17.656,-178.76,7.1,Fiji
